	gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	threshold_drug	genelabels
15599	POC1B	6.2045582129595	-0.116642967457187	0.221818182312199	-0.785365671525397	0.432239201903447	NA	NA	
15600	POC1B-GALNT4	2.1911913179491	-0.177666276225481	0.225388741508947	-1.2339354716949	0.217226950381665	NA	NA	
15601	POC5	4.49462032241239	0.211437766305731	0.225521773833815	0.914560978063244	0.360422152139305	NA	NA	
15602	PODN	0.50414525433065	-0.0831711694479452	0.22925632515867	-0.0428203689414576	0.965844726812935	NA	NA	
15603	PODNL1	0.928116414445898	0.192237487657626	0.231217164801136	0.638287105136049	0.523286804419814	NA	NA	
15604	PODXL	6.66016318302714	-0.257010691555885	0.222003723174847	-1.34616998046202	0.17824770400109	NA	NA	
15605	PODXL2	0.253580289157228	-0.0418758754998165	0.174084698491512	-0.180947562100576	0.856408735832405	NA	NA	
15606	POF1B	0.0292329163349168	-0.000525434716345897	0.0402700313033084	0.00394792201075138	0.996850022163009	NA	NA	
15607	POFUT1	11.1251065716151	-0.0437071348456072	0.205338142237032	-0.233341927258477	0.815495903784212	NA	NA	
15608	POFUT2	1.6122619971882	0.648667891667796	0.240217642899646	2.97577406654121	0.00292250083463648	NA	NA	
15609	POGK	5.04868430612868	0.07157308223748	0.225244643145337	0.606948190188865	0.543885295730134	NA	NA	
15610	POGLUT1	8.45536511965003	-0.00878226780622646	0.210195439701809	0.0284447057887066	0.977307468548603	NA	NA	
15611	POGZ	11.2487026024142	-0.152506625194488	0.208200649421737	-0.627884388362393	0.530079678711289	NA	NA	
15612	POLA1	2.43912519204102	-0.378706707468619	0.221267363739769	-0.808055701376144	0.419058517337611	NA	NA	
15613	POLA2	3.41084969745053	-0.328223328474336	0.219922843153363	-1.53432021500125	0.124950894953206	NA	NA	
15614	POLB	4.358552964505	0.125470047299312	0.226038003706193	0.752802128062919	0.451568827798926	NA	NA	
15615	POLD1	2.02930063890064	-0.236233307376837	0.221756949653677	-0.975954795480819	0.32908686609915	NA	NA	
15616	POLD3	15.4377604997802	-0.413243604055573	0.198381998951001	-1.81662583545623	0.0692744247556037	NA	NA	
15617	POLD4	7.60768812758176	0.18821373979439	0.213570458979843	0.79156228475381	0.428615945396617	NA	NA	
15618	POLDIP2	12.9856552231677	-0.266190349607441	0.202578298176973	-1.20008827768182	0.230105057669785	NA	NA	
15619	POLDIP3	7.77163010474568	0.197388945855982	0.20795130149379	0.982156906726265	0.326022553840814	NA	NA	
15620	POLE	6.13199631184109	0.0662323200106971	0.222437782765021	0.194176028996388	0.846038051729581	NA	NA	
15621	POLE2	6.0546649945753	0.278552167022229	0.219307663021016	1.6059037539997	0.108295058590744	NA	NA	
15622	POLE4	19.0092350709087	0.161165836661472	0.173493477757654	0.911979042595822	0.361779749979774	NA	NA	
15623	POLG	3.37926447428821	-0.454791746242374	0.219426769501816	-1.66809560153752	0.0952967501984742	NA	NA	
15624	POLG2	5.13872690995334	-0.0131935865391828	0.223593938640745	-0.139176654538411	0.889310555924597	NA	NA	
15625	POLH	4.69237602189843	0.200145089358772	0.225769620695979	0.826402547702258	0.408575778697265	NA	NA	
15626	POLI	1.23226214215935	-0.38981190879132	0.221085567600148	-1.51926370074844	0.128696132769454	NA	NA	
15627	POLK	6.10695131798445	0.00553816285985516	0.221443962335571	-0.219790381142817	0.826034411208546	NA	NA	
15628	POLL	2.76516544488625	-0.0707433974592346	0.225555961186583	0.071437066156301	0.943049910425292	NA	NA	
15629	POLM	2.57598106426123	-0.185994632451358	0.223604353734186	-0.595461210718257	0.551535220124359	NA	NA	
15630	POLN	2.02294036930925	-0.0470415384245474	0.225113398733121	0.302102608989742	0.762573843628808	NA	NA	
15631	POLQ	1.92426775010117	-0.003009271314054	0.228219184737167	0.0653703895845202	0.947879099326177	NA	NA	
15632	POLR1A	11.9570219738024	-0.179197606520062	0.204615271566155	-0.671109097287629	0.502151031970881	NA	NA	
15633	POLR1B	1.90129744734095	0.132248189922321	0.228241962597332	-0.340206124399807	0.733701306375272	NA	NA	
15634	POLR1D	19.876112345443	-2.43269614703819e-05	0.175151195155479	0.0234814109593279	0.981266266302758	NA	NA	
15635	POLR1E	11.7273465690436	0.327452350233085	0.195064908824049	1.87714248530215	0.0604985678167485	NA	NA	
